rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,346440,28672,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,131,2022-05-25T20:50:45Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,996.ICU,262371,21508,,https://github.com/996icu/996.ICU,996icu,0,2022-05-21T10:58:37Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
3,top-100-stars,free-programming-books,233765,48930,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,30,2022-05-25T10:46:44Z,:books: Freely available programming books
4,top-100-stars,coding-interview-university,220627,59776,,https://github.com/jwasham/coding-interview-university,jwasham,38,2022-05-24T18:11:07Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,202627,23501,,https://github.com/sindresorhus/awesome,sindresorhus,21,2022-05-25T07:53:34Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,vue,196192,32184,TypeScript,https://github.com/vuejs/vue,vuejs,327,2022-05-25T18:42:58Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
7,top-100-stars,developer-roadmap,195442,28120,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,106,2022-05-25T12:22:55Z,Roadmap to becoming a developer in 2022
8,top-100-stars,public-apis,194047,22366,Python,https://github.com/public-apis/public-apis,public-apis,1,2022-05-25T17:05:55Z,A collective list of free APIs
9,top-100-stars,system-design-primer,181587,33051,Python,https://github.com/donnemartin/system-design-primer,donnemartin,160,2022-05-18T15:10:49Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
10,top-100-stars,tensorflow,165206,86805,C++,https://github.com/tensorflow/tensorflow,tensorflow,2196,2022-05-26T02:44:24Z,An Open Source Machine Learning Framework for Everyone
11,top-100-stars,bootstrap,157501,76718,JavaScript,https://github.com/twbs/bootstrap,twbs,230,2022-05-25T20:55:53Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
12,top-100-stars,You-Dont-Know-JS,153917,30377,,https://github.com/getify/You-Dont-Know-JS,getify,83,2022-05-20T02:03:34Z,A book series on JavaScript. @YDKJS on twitter.
13,top-100-stars,ohmyzsh,145522,24067,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,204,2022-05-25T19:33:46Z,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
14,top-100-stars,build-your-own-x,142286,13647,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,157,2022-05-25T19:04:55Z,Master programming by recreating your favorite technologies from scratch.
15,top-100-stars,javascript-algorithms,141705,23488,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,103,2022-05-22T15:42:10Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
16,top-100-stars,flutter,140949,22175,Dart,https://github.com/flutter/flutter,flutter,10582,2022-05-26T02:40:40Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
17,top-100-stars,Python,136318,35602,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,23,2022-05-25T14:08:13Z,All Algorithms implemented in Python
