rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,357443,30478,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,143,2022-11-22T02:53:07Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,996.ICU,264507,21481,,https://github.com/996icu/996.ICU,996icu,0,2022-11-07T09:35:21Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
3,top-100-stars,free-programming-books,256338,52583,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,37,2022-11-21T15:17:32Z,:books: Freely available programming books
4,top-100-stars,coding-interview-university,239493,64001,,https://github.com/jwasham/coding-interview-university,jwasham,38,2022-11-21T15:25:39Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,226724,24482,,https://github.com/sindresorhus/awesome,sindresorhus,21,2022-11-21T22:17:07Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,developer-roadmap,218918,31632,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,153,2022-11-22T02:11:55Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,top-100-stars,public-apis,216748,24801,Python,https://github.com/public-apis/public-apis,public-apis,8,2022-11-22T02:04:25Z,A collective list of free APIs
8,top-100-stars,system-design-primer,203723,36657,Python,https://github.com/donnemartin/system-design-primer,donnemartin,166,2022-11-20T11:29:30Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,vue,200817,33081,TypeScript,https://github.com/vuejs/vue,vuejs,341,2022-11-19T04:00:59Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
10,top-100-stars,react,198007,41097,JavaScript,https://github.com/facebook/react,facebook,859,2022-11-22T00:39:43Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
11,top-100-stars,build-your-own-x,174140,16516,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,170,2022-11-14T17:21:22Z,Master programming by recreating your favorite technologies from scratch.
12,top-100-stars,tensorflow,169227,87487,C++,https://github.com/tensorflow/tensorflow,tensorflow,2090,2022-11-22T02:05:09Z,An Open Source Machine Learning Framework for Everyone
13,top-100-stars,You-Dont-Know-JS,161494,31575,,https://github.com/getify/You-Dont-Know-JS,getify,81,2022-10-25T19:54:03Z,A book series on JavaScript. @YDKJS on twitter.
14,top-100-stars,bootstrap,160488,77557,JavaScript,https://github.com/twbs/bootstrap,twbs,257,2022-11-21T23:28:40Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
15,top-100-stars,CS-Notes,159010,49433,,https://github.com/CyC2018/CS-Notes,CyC2018,115,2022-11-16T01:48:28Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
16,top-100-stars,javascript-algorithms,155281,25887,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,107,2022-11-15T13:21:14Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
17,top-100-stars,ohmyzsh,152467,24747,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,240,2022-11-21T10:24:10Z,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
18,top-100-stars,Python,149018,38303,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,6,2022-11-21T13:17:44Z,All Algorithms implemented in Python
19,top-100-stars,awesome-python,147534,22190,Python,https://github.com/vinta/awesome-python,vinta,18,2022-11-15T07:07:29Z,"A curated list of awesome Python frameworks, libraries, software and resources"
20,top-100-stars,flutter,146593,23799,Dart,https://github.com/flutter/flutter,flutter,11150,2022-11-22T02:43:52Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
21,top-100-stars,linux,141622,45530,C,https://github.com/torvalds/linux,torvalds,0,2022-11-21T00:07:41Z,Linux kernel source tree
22,top-100-stars,gitignore,140987,79996,,https://github.com/github/gitignore,github,0,2022-11-20T21:03:43Z,A collection of useful .gitignore templates
23,top-100-stars,vscode,139355,24048,TypeScript,https://github.com/microsoft/vscode,microsoft,7772,2022-11-22T02:41:29Z,Visual Studio Code
24,top-100-stars,JavaGuide,128841,42902,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,62,2022-11-22T02:42:47Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
25,top-100-stars,javascript,128787,24559,JavaScript,https://github.com/airbnb/javascript,airbnb,90,2022-11-20T19:12:33Z,JavaScript Style Guide
26,top-100-stars,computer-science,128270,16979,,https://github.com/ossu/computer-science,ossu,15,2022-11-13T21:04:46Z,:mortar_board: Path to a free self-taught education in Computer Science!
27,top-100-stars,Python-100-Days,127814,47495,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,492,2022-11-20T06:22:52Z,Python - 100天从新手到大师
28,top-100-stars,the-art-of-command-line,116890,12188,,https://github.com/jlevy/the-art-of-command-line,jlevy,94,2022-11-19T08:35:24Z,"Master the command line, in one page"
29,top-100-stars,youtube-dl,115088,8362,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3874,2022-11-20T14:41:09Z,Command-line program to download videos from YouTube.com and other video sites
30,top-100-stars,fucking-algorithm,112065,21835,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,66,2022-11-17T13:57:11Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
31,top-100-stars,awesome-selfhosted,108988,6640,JavaScript,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,59,2022-11-21T14:31:15Z,A list of Free Software network services and web applications which can be hosted on your own servers
32,top-100-stars,react-native,106115,22623,JavaScript,https://github.com/facebook/react-native,facebook,2024,2022-11-22T00:36:08Z,A framework for building native applications using React
33,top-100-stars,go,105957,15637,Go,https://github.com/golang/go,golang,7642,2022-11-22T02:53:29Z,The Go programming language
34,top-100-stars,30-seconds-of-code,104891,10922,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,0,2022-10-22T11:04:29Z,Short JavaScript code snippets for all your development needs
35,top-100-stars,electron,104585,14032,C++,https://github.com/electron/electron,electron,922,2022-11-22T02:46:09Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
36,top-100-stars,d3,103477,23212,JavaScript,https://github.com/d3/d3,d3,4,2022-07-09T14:42:14Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
37,top-100-stars,create-react-app,98002,25583,JavaScript,https://github.com/facebook/create-react-app,facebook,1464,2022-11-21T20:38:06Z,Set up a modern web app by running one command.
38,top-100-stars,axios,97385,10000,JavaScript,https://github.com/axios/axios,axios,261,2022-11-20T00:46:07Z,Promise based HTTP client for the browser and node.js
39,top-100-stars,free-programming-books-zh_CN,97145,26768,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2022-10-26T04:02:03Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
40,top-100-stars,next.js,96693,21276,JavaScript,https://github.com/vercel/next.js,vercel,1373,2022-11-22T02:40:24Z,The React Framework
41,top-100-stars,kubernetes,93906,34432,Go,https://github.com/kubernetes/kubernetes,kubernetes,1612,2022-11-22T02:53:17Z,Production-Grade Container Scheduling and Management
42,top-100-stars,node,91649,24787,JavaScript,https://github.com/nodejs/node,nodejs,1315,2022-11-22T01:35:38Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
43,top-100-stars,awesome-go,91308,10493,Go,https://github.com/avelino/awesome-go,avelino,5,2022-11-20T22:39:46Z,"A curated list of awesome Go frameworks, libraries and software"
44,top-100-stars,three.js,87011,33369,JavaScript,https://github.com/mrdoob/three.js,mrdoob,362,2022-11-21T23:37:33Z,JavaScript 3D Library.
45,top-100-stars,deno,86441,4656,Rust,https://github.com/denoland/deno,denoland,1011,2022-11-22T01:55:38Z,A modern runtime for JavaScript and TypeScript.
46,top-100-stars,terminal,86167,7576,C++,https://github.com/microsoft/terminal,microsoft,1500,2022-11-22T00:05:57Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
47,top-100-stars,TypeScript,86161,11193,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5661,2022-11-21T23:23:12Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
48,top-100-stars,angular,85096,22566,TypeScript,https://github.com/angular/angular,angular,1117,2022-11-22T00:56:15Z,The modern web developer’s platform
49,top-100-stars,nodebestpractices,83284,8608,JavaScript,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,21,2022-11-21T13:55:22Z,:white_check_mark:  The Node.js best practices list (November 2022)
50,top-100-stars,the-book-of-secret-knowledge,83017,6638,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2022-10-28T10:30:23Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
51,top-100-stars,ant-design,82890,36838,TypeScript,https://github.com/ant-design/ant-design,ant-design,859,2022-11-22T02:09:58Z,An enterprise-class UI design language and React UI library
