rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,343361,28359,JavaScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,121,2022-04-03T00:20:06Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,996.ICU,261620,21535,,https://github.com/996icu/996.ICU,996icu,0,2022-03-30T22:19:58Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
3,top-100-stars,free-programming-books,229373,48271,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,30,2022-04-02T19:06:23Z,:books: Freely available programming books
4,top-100-stars,coding-interview-university,215698,58574,,https://github.com/jwasham/coding-interview-university,jwasham,38,2022-04-01T16:16:02Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,195671,23231,,https://github.com/sindresorhus/awesome,sindresorhus,21,2022-04-01T06:34:13Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,vue,194655,31831,JavaScript,https://github.com/vuejs/vue,vuejs,328,2022-04-01T13:28:57Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
7,top-100-stars,developer-roadmap,190446,27428,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,102,2022-03-31T21:33:27Z,Roadmap to becoming a developer in 2022
8,top-100-stars,public-apis,187445,21620,Python,https://github.com/public-apis/public-apis,public-apis,1,2022-04-02T20:10:43Z,A collective list of free APIs
9,top-100-stars,react,185701,38081,JavaScript,https://github.com/facebook/react,facebook,677,2022-04-03T01:41:49Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
10,top-100-stars,system-design-primer,170002,31430,Python,https://github.com/donnemartin/system-design-primer,donnemartin,151,2022-03-30T22:02:33Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
11,top-100-stars,tensorflow,164023,86581,C++,https://github.com/tensorflow/tensorflow,tensorflow,2285,2022-04-02T18:47:18Z,An Open Source Machine Learning Framework for Everyone
12,top-100-stars,bootstrap,156204,76407,JavaScript,https://github.com/twbs/bootstrap,twbs,316,2022-04-02T03:54:51Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
13,top-100-stars,You-Dont-Know-JS,151495,30030,,https://github.com/getify/You-Dont-Know-JS,getify,82,2022-03-23T11:00:22Z,A book series on JavaScript. @YDKJS on twitter.
14,top-100-stars,CS-Notes,148777,47325,,https://github.com/CyC2018/CS-Notes,CyC2018,104,2022-03-30T23:00:18Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
15,top-100-stars,ohmyzsh,143038,23893,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,179,2022-04-01T13:26:24Z,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
16,top-100-stars,flutter,138371,21359,Dart,https://github.com/flutter/flutter,flutter,10505,2022-04-03T02:30:24Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
17,top-100-stars,javascript-algorithms,138111,22904,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,98,2022-04-01T15:33:20Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
18,top-100-stars,build-your-own-x,137157,13102,,https://github.com/danistefanovic/build-your-own-x,danistefanovic,144,2022-03-29T14:52:07Z,🤓 Build your own (insert technology here)
19,top-100-stars,Python,133926,35108,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,23,2022-04-01T20:07:27Z,All Algorithms implemented in Python
20,top-100-stars,gitignore,131332,73633,,https://github.com/github/gitignore,github,0,2022-04-02T07:36:39Z,A collection of useful .gitignore templates
21,top-100-stars,vscode,129699,22014,TypeScript,https://github.com/microsoft/vscode,microsoft,5750,2022-04-02T15:38:30Z,Visual Studio Code
22,top-100-stars,linux,129675,42306,C,https://github.com/torvalds/linux,torvalds,0,2022-04-02T19:59:55Z,Linux kernel source tree
23,top-100-stars,awesome-python,122018,20964,Python,https://github.com/vinta/awesome-python,vinta,9,2022-03-30T03:23:43Z,"A curated list of awesome Python frameworks, libraries, software and resources"
24,top-100-stars,javascript,121467,23195,JavaScript,https://github.com/airbnb/javascript,airbnb,87,2022-03-31T21:00:15Z,JavaScript Style Guide
25,top-100-stars,JavaGuide,119650,40737,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,69,2022-04-02T04:44:15Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
26,top-100-stars,Python-100-Days,116619,45040,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,455,2022-03-31T15:58:19Z,Python - 100天从新手到大师
27,top-100-stars,computer-science,110999,15292,,https://github.com/ossu/computer-science,ossu,9,2022-03-30T23:39:01Z,:mortar_board: Path to a free self-taught education in Computer Science!
28,top-100-stars,youtube-dl,108192,7538,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,4039,2022-04-03T01:48:14Z,Command-line program to download videos from YouTube.com and other video sites
29,top-100-stars,the-art-of-command-line,104644,11183,,https://github.com/jlevy/the-art-of-command-line,jlevy,111,2022-03-10T06:36:44Z,"Master the command line, in one page"
30,top-100-stars,fucking-algorithm,104489,20694,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,160,2022-03-27T15:06:29Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
31,top-100-stars,react-native,101970,21956,JavaScript,https://github.com/facebook/react-native,facebook,1887,2022-04-02T21:48:22Z,A framework for building native applications using React
32,top-100-stars,electron,101098,13367,C++,https://github.com/electron/electron,electron,1478,2022-04-02T13:00:26Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
33,top-100-stars,d3,100831,23035,JavaScript,https://github.com/d3/d3,d3,3,2022-04-02T22:25:18Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
34,top-100-stars,go,97369,14543,Go,https://github.com/golang/go,golang,7471,2022-04-03T00:40:20Z,The Go programming language
35,top-100-stars,create-react-app,94288,24254,JavaScript,https://github.com/facebook/create-react-app,facebook,1253,2022-04-02T07:13:59Z,Set up a modern web app by running one command.
36,top-100-stars,30-seconds-of-code,93662,9954,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,0,2022-04-02T15:24:53Z,Short JavaScript code snippets for all your development needs
37,top-100-stars,axios,92159,9367,JavaScript,https://github.com/axios/axios,axios,240,2022-04-01T19:18:58Z,Promise based HTTP client for the browser and node.js
38,top-100-stars,free-programming-books-zh_CN,90133,25687,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2022-03-22T14:03:30Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
39,top-100-stars,kubernetes,87058,31976,Go,https://github.com/kubernetes/kubernetes,kubernetes,1623,2022-04-03T02:40:59Z,Production-Grade Container Scheduling and Management
40,top-100-stars,node,86639,23201,JavaScript,https://github.com/nodejs/node,nodejs,1343,2022-04-03T00:24:22Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
41,top-100-stars,next.js,84079,17642,JavaScript,https://github.com/vercel/next.js,vercel,942,2022-04-02T21:46:20Z,The React Framework
42,top-100-stars,awesome-selfhosted,83521,5649,JavaScript,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,106,2022-04-02T07:08:09Z,A list of Free Software network services and web applications which can be hosted on your own servers
43,top-100-stars,terminal,82085,7287,C++,https://github.com/microsoft/terminal,microsoft,1418,2022-04-01T17:52:19Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
44,top-100-stars,deno,81377,4350,Rust,https://github.com/denoland/deno,denoland,802,2022-04-02T19:03:33Z,A modern runtime for JavaScript and TypeScript.
45,top-100-stars,three.js,80671,31216,JavaScript,https://github.com/mrdoob/three.js,mrdoob,338,2022-04-02T19:34:35Z,JavaScript 3D Library.
46,top-100-stars,angular,80555,21197,TypeScript,https://github.com/angular/angular,angular,1308,2022-04-03T02:10:08Z,The modern web developer’s platform
47,top-100-stars,TypeScript,79373,10394,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5257,2022-04-02T19:27:22Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
48,top-100-stars,ant-design,79135,33281,TypeScript,https://github.com/ant-design/ant-design,ant-design,762,2022-04-03T01:20:42Z,An enterprise-class UI design language and React UI library
49,top-100-stars,awesome-go,78072,9693,Go,https://github.com/avelino/awesome-go,avelino,10,2022-04-02T19:09:23Z,"A curated list of awesome Go frameworks, libraries and software"
50,top-100-stars,material-ui,77130,26652,JavaScript,https://github.com/mui/material-ui,mui,979,2022-04-03T02:40:00Z,"MUI Core (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with Material Design."
51,top-100-stars,puppeteer,77091,8251,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,1824,2022-04-02T15:54:10Z,Headless Chrome Node.js API
52,top-100-stars,nodebestpractices,76195,7836,JavaScript,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,28,2022-03-31T05:11:00Z,:white_check_mark:  The Node.js best practices list (March 2022)
53,top-100-stars,vue-element-admin,75166,27403,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1064,2022-03-31T05:11:14Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
54,top-100-stars,animate.css,74112,16118,CSS,https://github.com/animate-css/animate.css,animate-css,17,2022-04-01T19:01:42Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
55,top-100-stars,java-design-patterns,74113,23086,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,221,2022-03-31T20:52:18Z,Design patterns implemented in Java
56,top-100-stars,models,73194,45686,Python,https://github.com/tensorflow/models,tensorflow,1152,2022-04-02T19:58:50Z,Models and examples built with TensorFlow
57,top-100-stars,PowerToys,70952,4019,C#,https://github.com/microsoft/PowerToys,microsoft,2471,2022-04-02T17:23:15Z,Windows system utilities to maximize productivity
58,top-100-stars,storybook,69888,7217,TypeScript,https://github.com/storybookjs/storybook,storybookjs,1646,2022-04-03T02:13:40Z,"📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!"
59,top-100-stars,thefuck,69736,3165,Python,https://github.com/nvbn/thefuck,nvbn,197,2022-04-02T20:53:40Z,Magnificent app which corrects your previous console command.
60,top-100-stars,LeetCodeAnimation,69519,13403,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,13,2022-03-06T09:10:42Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
1,top-100-forks,datasharing,6049,240746,,https://github.com/jtleek/datasharing,jtleek,283,2022-03-24T18:07:14Z,The Leek group guide to data sharing 
2,top-100-forks,ProgrammingAssignment2,730,140437,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,180,2022-03-30T05:43:03Z,Repository for Programming Assignment 2 for R Programming on Coursera
3,top-100-forks,Spoon-Knife,10966,125778,HTML,https://github.com/octocat/Spoon-Knife,octocat,1410,2022-04-02T20:48:17Z,This repo is for demonstration purposes only.
4,top-100-forks,SmartThingsPublic,2313,88809,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,58,2022-04-02T13:41:51Z,SmartThings open-source DeviceTypeHandlers and SmartApps code
5,top-100-forks,tensorflow,164023,86581,C++,https://github.com/tensorflow/tensorflow,tensorflow,2285,2022-04-02T18:47:18Z,An Open Source Machine Learning Framework for Everyone
6,top-100-forks,bootstrap,156204,76407,JavaScript,https://github.com/twbs/bootstrap,twbs,316,2022-04-02T03:54:51Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
7,top-100-forks,gitignore,131332,73633,,https://github.com/github/gitignore,github,0,2022-04-02T07:36:39Z,A collection of useful .gitignore templates
8,top-100-forks,Complete-Python-3-Bootcamp,19715,68046,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,65,2022-03-31T14:37:17Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
9,top-100-forks,MagiskOnWSA,10037,66684,,https://github.com/LSPosed/MagiskOnWSA,LSPosed,1,2022-03-31T14:37:56Z,Integrate Magisk root and Google Apps (OpenGApps) into WSA (Windows Subsystem for Android)
10,top-100-forks,cgm-remote-monitor,1776,63398,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,120,2022-04-02T15:59:22Z,nightscout web monitor
