rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,358154,30584,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,136,2022-12-12T01:39:38Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,996.ICU,264619,21484,,https://github.com/996icu/996.ICU,996icu,0,2022-12-01T19:01:40Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
3,top-100-stars,free-programming-books,258188,52826,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2022-12-10T11:01:21Z,:books: Freely available programming books
4,top-100-stars,coding-interview-university,240783,64316,,https://github.com/jwasham/coding-interview-university,jwasham,39,2022-12-05T18:46:39Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,229494,24590,,https://github.com/sindresorhus/awesome,sindresorhus,20,2022-12-11T17:30:47Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,developer-roadmap,220956,31958,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,188,2022-12-11T15:56:20Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,top-100-stars,public-apis,219655,25129,Python,https://github.com/public-apis/public-apis,public-apis,11,2022-12-11T19:03:18Z,A collective list of free APIs
8,top-100-stars,system-design-primer,205390,36933,Python,https://github.com/donnemartin/system-design-primer,donnemartin,167,2022-12-11T20:06:51Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,vue,201193,33140,TypeScript,https://github.com/vuejs/vue,vuejs,344,2022-12-11T06:09:44Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
10,top-100-stars,react,198966,41320,JavaScript,https://github.com/facebook/react,facebook,877,2022-12-11T06:36:36Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
11,top-100-stars,build-your-own-x,178234,17149,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,171,2022-12-11T08:34:44Z,Master programming by recreating your favorite technologies from scratch.
12,top-100-stars,tensorflow,169616,87535,C++,https://github.com/tensorflow/tensorflow,tensorflow,2080,2022-12-11T21:01:01Z,An Open Source Machine Learning Framework for Everyone
13,top-100-stars,You-Dont-Know-JS,162118,31670,,https://github.com/getify/You-Dont-Know-JS,getify,81,2022-10-25T19:54:03Z,A book series on JavaScript. @YDKJS on twitter.
14,top-100-stars,bootstrap,160751,77643,JavaScript,https://github.com/twbs/bootstrap,twbs,258,2022-12-12T02:27:24Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
15,top-100-stars,CS-Notes,159658,49547,,https://github.com/CyC2018/CS-Notes,CyC2018,116,2022-11-16T01:48:28Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
16,top-100-stars,javascript-algorithms,156552,26046,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,106,2022-12-07T23:11:38Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
17,top-100-stars,ohmyzsh,153148,24821,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,242,2022-12-11T23:29:20Z,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
18,top-100-stars,Python,149786,38487,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,6,2022-12-11T07:04:04Z,All Algorithms implemented in Python
19,top-100-stars,awesome-python,149456,22282,Python,https://github.com/vinta/awesome-python,vinta,24,2022-12-10T12:46:59Z,"A curated list of awesome Python frameworks, libraries, software and resources"
20,top-100-stars,flutter,147304,23966,Dart,https://github.com/flutter/flutter,flutter,11163,2022-12-12T02:40:35Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
21,top-100-stars,linux,142842,45842,C,https://github.com/torvalds/linux,torvalds,0,2022-12-11T22:21:50Z,Linux kernel source tree
22,top-100-stars,gitignore,141672,80628,,https://github.com/github/gitignore,github,0,2022-12-11T16:13:40Z,A collection of useful .gitignore templates
23,top-100-stars,vscode,140137,24239,TypeScript,https://github.com/microsoft/vscode,microsoft,6280,2022-12-12T01:45:54Z,Visual Studio Code
24,top-100-stars,javascript,129536,24652,JavaScript,https://github.com/airbnb/javascript,airbnb,92,2022-12-06T18:55:58Z,JavaScript Style Guide
25,top-100-stars,JavaGuide,129293,42984,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,64,2022-12-11T10:36:46Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
26,top-100-stars,computer-science,129209,17096,,https://github.com/ossu/computer-science,ossu,16,2022-12-08T08:05:24Z,:mortar_board: Path to a free self-taught education in Computer Science!
27,top-100-stars,Python-100-Days,128443,47636,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,492,2022-12-08T10:24:07Z,Python - 100天从新手到大师
28,top-100-stars,the-art-of-command-line,121849,12434,,https://github.com/jlevy/the-art-of-command-line,jlevy,97,2022-12-03T16:57:39Z,"Master the command line, in one page"
29,top-100-stars,youtube-dl,115669,8433,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3880,2022-12-12T02:57:07Z,Command-line program to download videos from YouTube.com and other video sites
30,top-100-stars,fucking-algorithm,112541,21893,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,68,2022-12-12T01:15:55Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
31,top-100-stars,awesome-selfhosted,111377,6711,JavaScript,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,58,2022-12-11T13:57:34Z,A list of Free Software network services and web applications which can be hosted on your own servers
32,top-100-stars,go,106535,15701,Go,https://github.com/golang/go,golang,7690,2022-12-12T01:36:26Z,The Go programming language
33,top-100-stars,react-native,106425,22689,JavaScript,https://github.com/facebook/react-native,facebook,2008,2022-12-11T22:39:05Z,A framework for building native applications using React
34,top-100-stars,30-seconds-of-code,105524,10975,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,0,2022-12-04T20:20:56Z,Short JavaScript code snippets for all your development needs
35,top-100-stars,electron,104925,14121,C++,https://github.com/electron/electron,electron,935,2022-12-11T18:47:56Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
36,top-100-stars,d3,103646,23222,JavaScript,https://github.com/d3/d3,d3,3,2022-12-03T18:18:43Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
37,top-100-stars,create-react-app,98217,25688,JavaScript,https://github.com/facebook/create-react-app,facebook,1481,2022-12-11T13:18:08Z,Set up a modern web app by running one command.
38,top-100-stars,axios,97699,10052,JavaScript,https://github.com/axios/axios,axios,272,2022-12-11T22:51:13Z,Promise based HTTP client for the browser and node.js
39,top-100-stars,free-programming-books-zh_CN,97660,26847,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2022-12-05T08:12:22Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
40,top-100-stars,next.js,97588,21575,JavaScript,https://github.com/vercel/next.js,vercel,1363,2022-12-12T02:53:26Z,The React Framework
41,top-100-stars,kubernetes,94376,34607,Go,https://github.com/kubernetes/kubernetes,kubernetes,1618,2022-12-12T02:52:37Z,Production-Grade Container Scheduling and Management
42,top-100-stars,awesome-go,92661,10559,Go,https://github.com/avelino/awesome-go,avelino,9,2022-12-11T20:49:08Z,"A curated list of awesome Go frameworks, libraries and software"
43,top-100-stars,node,92033,24890,JavaScript,https://github.com/nodejs/node,nodejs,1302,2022-12-12T01:56:59Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
44,top-100-stars,three.js,87476,33531,JavaScript,https://github.com/mrdoob/three.js,mrdoob,356,2022-12-12T01:10:36Z,JavaScript 3D Library.
45,top-100-stars,deno,86801,4677,Rust,https://github.com/denoland/deno,denoland,1030,2022-12-12T00:30:54Z,A modern runtime for JavaScript and TypeScript.
46,top-100-stars,TypeScript,86782,11258,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5693,2022-12-12T01:47:58Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
47,top-100-stars,terminal,86361,7591,C++,https://github.com/microsoft/terminal,microsoft,1501,2022-12-11T23:09:47Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
48,top-100-stars,angular,85382,22660,TypeScript,https://github.com/angular/angular,angular,1134,2022-12-11T17:56:35Z,The modern web developer’s platform
49,top-100-stars,the-book-of-secret-knowledge,84516,6694,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2022-12-08T16:01:17Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
50,top-100-stars,nodebestpractices,83920,8674,JavaScript,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,21,2022-12-05T10:57:07Z,:white_check_mark:  The Node.js best practices list (November 2022)
51,top-100-stars,project-based-learning,83371,11894,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,17,2022-12-11T21:18:56Z,Curated list of project-based tutorials
52,top-100-stars,PowerToys,83307,4775,C#,https://github.com/microsoft/PowerToys,microsoft,4000,2022-12-11T16:36:29Z,Windows system utilities to maximize productivity
53,top-100-stars,ant-design,83305,37231,TypeScript,https://github.com/ant-design/ant-design,ant-design,893,2022-12-12T01:44:00Z,An enterprise-class UI design language and React UI library
54,top-100-stars,tech-interview-handbook,83298,11000,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,16,2022-11-25T16:58:13Z,💯 Curated coding interview preparation materials for busy software engineers
55,top-100-stars,material-ui,83071,28650,JavaScript,https://github.com/mui/material-ui,mui,1115,2022-12-11T22:52:23Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
56,top-100-stars,puppeteer,81163,8737,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,244,2022-12-09T13:45:26Z,Headless Chrome Node.js API
57,top-100-stars,vue-element-admin,79913,29021,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1164,2022-11-14T08:03:51Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
58,top-100-stars,java-design-patterns,78709,24377,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,191,2022-12-10T19:49:36Z,Design patterns implemented in Java
59,top-100-stars,animate.css,76518,16332,CSS,https://github.com/animate-css/animate.css,animate-css,20,2022-12-09T14:41:33Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
60,top-100-stars,clean-code-javascript,76393,10316,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,50,2022-12-02T14:17:25Z,:bathtub: Clean Code concepts adapted for JavaScript
1,top-100-forks,datasharing,6214,242056,,https://github.com/jtleek/datasharing,jtleek,296,2022-12-08T17:05:53Z,The Leek group guide to data sharing 
2,top-100-forks,ProgrammingAssignment2,770,141769,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,188,2022-12-09T16:31:14Z,Repository for Programming Assignment 2 for R Programming on Coursera
3,top-100-forks,Spoon-Knife,11418,131500,HTML,https://github.com/octocat/Spoon-Knife,octocat,1611,2022-12-11T21:32:03Z,This repo is for demonstration purposes only.
4,top-100-forks,SmartThingsPublic,2433,91344,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,59,2022-12-10T11:13:31Z,SmartThings open-source DeviceType Handlers and SmartApps code
5,top-100-forks,tensorflow,169616,87535,C++,https://github.com/tensorflow/tensorflow,tensorflow,2080,2022-12-11T21:01:01Z,An Open Source Machine Learning Framework for Everyone
6,top-100-forks,gitignore,141672,80628,,https://github.com/github/gitignore,github,0,2022-12-11T16:13:40Z,A collection of useful .gitignore templates
7,top-100-forks,bootstrap,160751,77643,JavaScript,https://github.com/twbs/bootstrap,twbs,258,2022-12-12T02:27:24Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
8,top-100-forks,Complete-Python-3-Bootcamp,22390,75617,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,92,2022-11-23T12:11:04Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
9,top-100-forks,cgm-remote-monitor,1975,67669,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,139,2022-12-11T15:24:21Z,nightscout web monitor
10,top-100-forks,coding-interview-university,240783,64316,,https://github.com/jwasham/coding-interview-university,jwasham,39,2022-12-05T18:46:39Z,A complete computer science study plan to become a software engineer.
11,top-100-forks,docs,12360,57925,JavaScript,https://github.com/github/docs,github,95,2022-12-12T00:52:02Z,The open-source repo for docs.github.com
12,top-100-forks,ExData_Plotting1,224,56529,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,76,2022-11-02T16:40:14Z,Plotting Assignment 1 for Exploratory Data Analysis
13,top-100-forks,first-contributions,30448,54880,,https://github.com/firstcontributions/first-contributions,firstcontributions,10,2022-12-12T00:23:58Z,🚀✨ Help beginners to contribute to open source projects
14,top-100-forks,opencv,65329,53271,C++,https://github.com/opencv/opencv,opencv,2274,2022-12-11T22:03:29Z,Open Source Computer Vision Library
15,top-100-forks,free-programming-books,258188,52826,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2022-12-10T11:01:21Z,:books: Freely available programming books
16,top-100-forks,tutorials,32779,51717,Java,https://github.com/eugenp/tutorials,eugenp,25,2022-12-11T20:10:35Z,"Just Announced - ""Learn Spring Security OAuth"": "
17,top-100-forks,CS-Notes,159658,49547,,https://github.com/CyC2018/CS-Notes,CyC2018,116,2022-11-16T01:48:28Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
18,top-100-forks,Python-100-Days,128443,47636,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,492,2022-12-08T10:24:07Z,Python - 100天从新手到大师
19,top-100-forks,models,74844,46103,Python,https://github.com/tensorflow/models,tensorflow,1076,2022-12-09T22:50:41Z,Models and examples built with TensorFlow
20,top-100-forks,linux,142842,45842,C,https://github.com/torvalds/linux,torvalds,0,2022-12-11T22:21:50Z,Linux kernel source tree
21,top-100-forks,JavaGuide,129293,42984,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,64,2022-12-11T10:36:46Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
22,top-100-forks,react,198966,41320,JavaScript,https://github.com/facebook/react,facebook,877,2022-12-11T06:36:36Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
23,top-100-forks,Python,149786,38487,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,6,2022-12-11T07:04:04Z,All Algorithms implemented in Python
24,top-100-forks,DO180-apps,235,37967,JavaScript,https://github.com/RedHatTraining/DO180-apps,RedHatTraining,0,2022-12-10T02:54:06Z,DO180 Repository for Sample Applications
25,top-100-forks,spring-boot,64573,37650,Java,https://github.com/spring-projects/spring-boot,spring-projects,537,2022-12-09T15:18:07Z,Spring Boot
26,top-100-forks,patchwork,1060,37329,Rich Text Format,https://github.com/jlord/patchwork,jlord,22,2022-12-10T16:28:57Z,All the Git-it Workshop completers! 
27,top-100-forks,ant-design,83305,37231,TypeScript,https://github.com/ant-design/ant-design,ant-design,893,2022-12-12T01:44:00Z,An enterprise-class UI design language and React UI library
28,top-100-forks,RepData_PeerAssessment1,94,36945,,https://github.com/rdpeng/RepData_PeerAssessment1,rdpeng,6,2022-08-25T17:01:55Z,Peer Assessment 1 for Reproducible Research
29,top-100-forks,system-design-primer,205390,36933,Python,https://github.com/donnemartin/system-design-primer,donnemartin,167,2022-12-11T20:06:51Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
30,top-100-forks,spring-framework,50111,35162,Java,https://github.com/spring-projects/spring-framework,spring-projects,1268,2022-12-11T11:04:18Z,Spring Framework
31,top-100-forks,kubernetes,94376,34607,Go,https://github.com/kubernetes/kubernetes,kubernetes,1618,2022-12-12T02:52:37Z,Production-Grade Container Scheduling and Management
32,top-100-forks,jekyll-now,7892,34590,CSS,https://github.com/barryclark/jekyll-now,barryclark,143,2022-12-12T00:49:00Z,"Build a Jekyll blog in minutes, without touching the command line."
33,top-100-forks,three.js,87476,33531,JavaScript,https://github.com/mrdoob/three.js,mrdoob,356,2022-12-12T01:10:36Z,JavaScript 3D Library.
34,top-100-forks,bitcoin,67353,33397,C++,https://github.com/bitcoin/bitcoin,bitcoin,421,2022-12-11T18:20:03Z,Bitcoin Core integration/staging tree
35,top-100-forks,vue,201193,33140,TypeScript,https://github.com/vuejs/vue,vuejs,344,2022-12-11T06:09:44Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
36,top-100-forks,css-exercises,790,32410,HTML,https://github.com/TheOdinProject/css-exercises,TheOdinProject,9,2022-12-07T18:26:00Z,
37,top-100-forks,developer-roadmap,220956,31958,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,188,2022-12-11T15:56:20Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
38,top-100-forks,You-Dont-Know-JS,162118,31670,,https://github.com/getify/You-Dont-Know-JS,getify,81,2022-10-25T19:54:03Z,A book series on JavaScript. @YDKJS on twitter.
39,top-100-forks,courses,3929,31560,HTML,https://github.com/DataScienceSpecialization/courses,DataScienceSpecialization,26,2021-03-30T06:51:57Z,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1
40,top-100-forks,freeCodeCamp,358154,30584,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,136,2022-12-12T01:39:38Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
41,top-100-forks,it-cert-automation-practice,609,30420,Python,https://github.com/google/it-cert-automation-practice,google,56,2022-12-11T22:22:17Z,Google IT Automation with Python Professional Certificate - Practice files
42,top-100-forks,qmk_firmware,13905,29621,C,https://github.com/qmk/qmk_firmware,qmk,262,2022-12-12T02:46:56Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
43,top-100-forks,JavaScript30,22245,29169,HTML,https://github.com/wesbos/JavaScript30,wesbos,0,2022-12-10T13:38:48Z,30 Day Vanilla JS Challenge
44,top-100-forks,vue-element-admin,79913,29021,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1164,2022-11-14T08:03:51Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
45,top-100-forks,material-ui,83071,28650,JavaScript,https://github.com/mui/material-ui,mui,1115,2022-12-11T22:52:23Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
46,top-100-forks,DefinitelyTyped,41904,28405,TypeScript,https://github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,650,2022-12-12T00:32:00Z,The repository for high quality TypeScript type definitions.
47,top-100-forks,django,67664,28299,Python,https://github.com/django/django,django,0,2022-12-10T18:40:08Z,The Web framework for perfectionists with deadlines.
48,top-100-forks,angular.js,59335,28197,JavaScript,https://github.com/angular/angular.js,angular,391,2022-04-12T15:57:22Z,AngularJS - HTML enhanced for web apps!
49,top-100-forks,free-programming-books-zh_CN,97660,26847,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2022-12-05T08:12:22Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
50,top-100-forks,spark,34554,26396,Scala,https://github.com/apache/spark,apache,0,2022-12-12T02:52:00Z,Apache Spark - A unified analytics engine for large-scale data processing
51,top-100-forks,Curso.Prep.Henry,964,26324,JavaScript,https://github.com/atralice/Curso.Prep.Henry,atralice,0,2022-12-07T16:54:00Z,Curso de Preparación para Ingresar a Henry.
52,top-100-forks,javascript-algorithms,156552,26046,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,106,2022-12-07T23:11:38Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
53,top-100-forks,mall,62625,26002,Java,https://github.com/macrozheng/mall,macrozheng,28,2022-12-12T01:43:58Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
54,top-100-forks,create-react-app,98217,25688,JavaScript,https://github.com/facebook/create-react-app,facebook,1481,2022-12-11T13:18:08Z,Set up a modern web app by running one command.
55,top-100-forks,dubbo,38180,25469,Java,https://github.com/apache/dubbo,apache,513,2022-12-11T14:59:50Z,"Apache Dubbo is a high-performance, java based, open source RPC framework."
56,top-100-forks,cpython,49431,25182,Python,https://github.com/python/cpython,python,6658,2022-12-12T02:44:15Z,The Python programming language
57,top-100-forks,public-apis,219655,25129,Python,https://github.com/public-apis/public-apis,public-apis,11,2022-12-11T19:03:18Z,A collective list of free APIs
58,top-100-forks,AspNetCore.Docs,11186,25080,C#,https://github.com/dotnet/AspNetCore.Docs,dotnet,489,2022-12-11T11:22:53Z,Documentation for ASP.NET Core
59,top-100-forks,node,92033,24890,JavaScript,https://github.com/nodejs/node,nodejs,1302,2022-12-12T01:56:59Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
60,top-100-forks,ohmyzsh,153148,24821,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,242,2022-12-11T23:29:20Z,"🙃   A delightful community-driven (with 2,000+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
1,ActionScript,open-source-flash,7383,138,ActionScript,https://github.com/open-source-flash/open-source-flash,open-source-flash,26,2021-02-24T08:44:01Z,Petition to open source Flash and Shockwave spec
2,ActionScript,VVVVVV,6522,512,ActionScript,https://github.com/TerryCavanagh/VVVVVV,TerryCavanagh,17,2022-12-12T02:12:10Z,The source code to VVVVVV! http://thelettervsixtim.es/
3,ActionScript,Starling-Framework,2583,834,ActionScript,https://github.com/Gamua/Starling-Framework,Gamua,70,2022-12-05T08:59:00Z,The Cross Platform Game Engine
4,ActionScript,webcamjs,2444,1119,ActionScript,https://github.com/jhuckaby/webcamjs,jhuckaby,150,2020-04-22T07:50:12Z,HTML5 Webcam Image Capture Library with Flash Fallback
5,ActionScript,as3corelib,1487,464,ActionScript,https://github.com/mikechambers/as3corelib,mikechambers,104,2015-08-31T21:13:33Z," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs."
6,ActionScript,scratch-flash,1325,526,ActionScript,https://github.com/LLK/scratch-flash,LLK,0,2019-02-05T18:30:34Z,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.
7,ActionScript,mapgen2,1259,210,ActionScript,https://github.com/amitp/mapgen2,amitp,1,2017-08-24T04:32:19Z,"Map generator for games. Generates island maps with a focus on mountains, rivers, coastlines."
8,ActionScript,flixel,1114,198,ActionScript,https://github.com/AdamAtomic/flixel,AdamAtomic,67,2015-11-05T01:35:36Z,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects."
9,ActionScript,as3-signals,1052,211,ActionScript,https://github.com/robertpenner/as3-signals,robertpenner,4,2018-10-11T10:29:32Z,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt. "
10,ActionScript,robotlegs-framework,968,266,ActionScript,https://github.com/robotlegs/robotlegs-framework,robotlegs,13,2020-06-16T09:09:56Z,An ActionScript 3 application framework for Flash and Flex
11,ActionScript,feathersui-starling,920,390,ActionScript,https://github.com/feathersui/feathersui-starling,feathersui,169,2022-11-03T17:26:12Z,User interface components for Starling Framework and Adobe AIR
12,ActionScript,bfxr,880,87,ActionScript,https://github.com/increpare/bfxr,increpare,9,2021-06-17T15:56:58Z,Flash + AIR sound effects generator.   Based on Sfxr.
13,ActionScript,flashls,757,271,ActionScript,https://github.com/mangui/flashls,mangui,167,2018-11-19T15:02:08Z,"HLS Flash Plugin/Player (Chromeless,OSMF,FlowPlayer,mediaelement.js,video.js,Clappr)"
14,ActionScript,malware-samples,721,180,ActionScript,https://github.com/InQuest/malware-samples,InQuest,0,2022-10-18T00:21:43Z,"A collection of malware samples and relevant dissection information, most probably referenced from http://blog.inquest.net"
15,ActionScript,away3d-core-fp11,638,282,ActionScript,https://github.com/away3d/away3d-core-fp11,away3d,101,2017-05-11T02:34:54Z,Away3D engine for Flash Player 11
16,ActionScript,minimalcomps,620,178,ActionScript,https://github.com/minimalcomps/minimalcomps,minimalcomps,12,2021-06-05T02:06:39Z,Minimal ActionScript 3.0 UI Components for Flash
