rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,377728,34742,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,207,2023-11-08T02:44:31Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,free-programming-books,302798,58481,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,44,2023-11-07T12:17:08Z,:books: Freely available programming books
3,top-100-stars,awesome,276414,26689,,https://github.com/sindresorhus/awesome,sindresorhus,23,2023-11-07T16:48:23Z,😎 Awesome lists about all kinds of interesting topics
4,top-100-stars,coding-interview-university,270720,70407,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-11-04T13:38:08Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,996.ICU,268127,21480,,https://github.com/996icu/996.ICU,996icu,0,2023-10-17T06:56:30Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
6,top-100-stars,public-apis,267778,30149,Python,https://github.com/public-apis/public-apis,public-apis,2,2023-11-05T05:47:47Z,A collective list of free APIs
7,top-100-stars,developer-roadmap,256904,35412,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,596,2023-11-07T19:32:57Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
8,top-100-stars,system-design-primer,234560,41085,Python,https://github.com/donnemartin/system-design-primer,donnemartin,186,2023-11-07T05:05:12Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,build-your-own-x,224633,21695,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,169,2023-11-07T12:12:27Z,Master programming by recreating your favorite technologies from scratch.
10,top-100-stars,react,215012,45317,JavaScript,https://github.com/facebook/react,facebook,1095,2023-11-08T00:50:37Z,The library for web and native user interfaces.
11,top-100-stars,vue,205673,34499,TypeScript,https://github.com/vuejs/vue,vuejs,382,2023-11-07T17:47:08Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
12,top-100-stars,awesome-python,185919,24052,Python,https://github.com/vinta/awesome-python,vinta,0,2023-11-07T23:39:38Z,"A curated list of awesome Python frameworks, libraries, software and resources"
13,top-100-stars,tensorflow,178634,89106,C++,https://github.com/tensorflow/tensorflow,tensorflow,1922,2023-11-08T02:54:40Z,An Open Source Machine Learning Framework for Everyone
14,top-100-stars,javascript-algorithms,176890,29078,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,122,2023-11-07T15:32:48Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
15,top-100-stars,You-Dont-Know-JS,172752,33215,,https://github.com/getify/You-Dont-Know-JS,getify,82,2023-10-20T17:58:04Z,A book series on JavaScript. @YDKJS on twitter.
16,top-100-stars,Python,172411,43251,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,25,2023-11-07T21:56:24Z,All Algorithms implemented in Python
17,top-100-stars,CS-Notes,168106,50637,,https://github.com/CyC2018/CS-Notes,CyC2018,127,2023-11-07T03:17:56Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
18,top-100-stars,bootstrap,165796,79021,JavaScript,https://github.com/twbs/bootstrap,twbs,367,2023-11-07T12:52:28Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
19,top-100-stars,ohmyzsh,163885,25651,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,118,2023-11-07T19:14:22Z,"🙃   A delightful community-driven (with 2,200+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
20,top-100-stars,linux,160396,50953,C,https://github.com/torvalds/linux,torvalds,0,2023-11-08T01:27:37Z,Linux kernel source tree
21,top-100-stars,flutter,157804,26230,Dart,https://github.com/flutter/flutter,flutter,11755,2023-11-08T02:30:33Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
22,top-100-stars,awesome-selfhosted,154601,8453,,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,0,2023-11-07T15:55:57Z,A list of Free Software network services and web applications which can be hosted on your own servers
23,top-100-stars,gitignore,152832,83969,,https://github.com/github/gitignore,github,0,2023-11-06T23:12:23Z,A collection of useful .gitignore templates
24,top-100-stars,vscode,152662,27369,TypeScript,https://github.com/microsoft/vscode,microsoft,8167,2023-11-08T02:49:54Z,Visual Studio Code
25,top-100-stars,AutoGPT,152601,36113,JavaScript,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,121,2023-11-08T02:38:25Z,An experimental open-source attempt to make GPT-4 fully autonomous.
26,top-100-stars,computer-science,151248,19288,,https://github.com/ossu/computer-science,ossu,17,2023-11-03T04:34:27Z,:mortar_board: Path to a free self-taught education in Computer Science!
27,top-100-stars,Python-100-Days,141938,50186,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,509,2023-11-06T02:21:28Z,Python - 100天从新手到大师
28,top-100-stars,the-art-of-command-line,140590,13866,,https://github.com/jlevy/the-art-of-command-line,jlevy,106,2023-10-27T14:39:02Z,"Master the command line, in one page"
29,top-100-stars,javascript,139107,26431,JavaScript,https://github.com/airbnb/javascript,airbnb,91,2023-10-29T19:26:39Z,JavaScript Style Guide
30,top-100-stars,JavaGuide,138450,45019,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,53,2023-11-07T14:49:22Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
31,top-100-stars,youtube-dl,124402,9480,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3834,2023-11-06T11:05:17Z,Command-line program to download videos from YouTube.com and other video sites
32,top-100-stars,fucking-algorithm,120762,22961,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,347,2023-10-30T02:44:29Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
33,top-100-stars,project-based-learning,120054,16583,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,34,2023-11-07T12:26:44Z,Curated list of project-based tutorials
34,top-100-stars,30-seconds-of-code,116394,11994,JavaScript,https://github.com/Chalarangelo/30-seconds-of-code,Chalarangelo,0,2023-11-07T18:26:59Z,Short code snippets for all your development needs
35,top-100-stars,go,115575,17338,Go,https://github.com/golang/go,golang,8401,2023-11-07T23:15:25Z,The Go programming language
36,top-100-stars,transformers,114785,22950,Python,https://github.com/huggingface/transformers,huggingface,682,2023-11-08T01:55:40Z,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
37,top-100-stars,next.js,114344,25137,JavaScript,https://github.com/vercel/next.js,vercel,2365,2023-11-08T02:51:42Z,The React Framework
38,top-100-stars,react-native,112713,23945,Java,https://github.com/facebook/react-native,facebook,1227,2023-11-08T02:55:16Z,A framework for building native applications using React
39,top-100-stars,the-book-of-secret-knowledge,112012,7869,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2023-10-22T02:59:44Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
40,top-100-stars,awesome-go,111197,11406,Go,https://github.com/avelino/awesome-go,avelino,1,2023-11-07T11:19:20Z,"A curated list of awesome Go frameworks, libraries and software"
41,top-100-stars,electron,109525,15220,C++,https://github.com/electron/electron,electron,802,2023-11-08T02:45:49Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
42,top-100-stars,stable-diffusion-webui,108335,21703,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,1612,2023-11-07T20:25:34Z,Stable Diffusion web UI
43,top-100-stars,d3,106549,23367,Shell,https://github.com/d3/d3,d3,6,2023-11-07T22:50:46Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
44,top-100-stars,free-programming-books-zh_CN,105659,27924,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2023-09-28T08:59:27Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
45,top-100-stars,kubernetes,102766,38250,Go,https://github.com/kubernetes/kubernetes,kubernetes,1919,2023-11-08T02:01:34Z,Production-Grade Container Scheduling and Management
46,top-100-stars,axios,102429,10766,JavaScript,https://github.com/axios/axios,axios,431,2023-11-07T20:21:20Z,Promise based HTTP client for the browser and node.js
47,top-100-stars,tech-interview-handbook,101129,12954,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,22,2023-11-03T06:28:31Z,💯 Curated coding interview preparation materials for busy software engineers
48,top-100-stars,create-react-app,101029,26796,JavaScript,https://github.com/facebook/create-react-app,facebook,1675,2023-11-07T22:34:55Z,Set up a modern web app by running one command.
49,top-100-stars,node,99159,27606,JavaScript,https://github.com/nodejs/node,nodejs,1402,2023-11-08T00:00:17Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
50,top-100-stars,PowerToys,98232,5798,C#,https://github.com/microsoft/PowerToys,microsoft,5112,2023-11-08T00:32:35Z,Windows system utilities to maximize productivity
51,top-100-stars,three.js,95458,35116,JavaScript,https://github.com/mrdoob/three.js,mrdoob,387,2023-11-08T02:04:28Z,JavaScript 3D Library.
52,top-100-stars,TypeScript,95076,12298,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5598,2023-11-08T01:57:23Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
53,top-100-stars,scrcpy,93567,9447,C,https://github.com/Genymobile/scrcpy,Genymobile,1524,2023-11-07T14:53:31Z,Display and control your Android device
54,top-100-stars,nodebestpractices,93565,9678,Dockerfile,https://github.com/goldbergyoni/nodebestpractices,goldbergyoni,31,2023-11-06T10:41:54Z,:white_check_mark:  The Node.js best practices list (July 2023)
55,top-100-stars,awesome-chatgpt-prompts,92039,12531,HTML,https://github.com/f/awesome-chatgpt-prompts,f,0,2023-11-07T21:42:37Z,This repo includes ChatGPT prompt curation to use ChatGPT better.
56,top-100-stars,deno,91350,5095,Rust,https://github.com/denoland/deno,denoland,1503,2023-11-08T01:47:12Z,A modern runtime for JavaScript and TypeScript.
57,top-100-stars,terminal,91280,8115,C++,https://github.com/microsoft/terminal,microsoft,1436,2023-11-07T22:45:13Z,"The new Windows Terminal and the original Windows console host, all in the same place!"
58,top-100-stars,angular,91085,24536,TypeScript,https://github.com/angular/angular,angular,1353,2023-11-08T00:16:44Z,The modern web developer’s platform
59,top-100-stars,material-ui,89473,30592,TypeScript,https://github.com/mui/material-ui,mui,1471,2023-11-07T22:42:34Z,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
60,top-100-stars,ant-design,88168,42671,TypeScript,https://github.com/ant-design/ant-design,ant-design,927,2023-11-08T02:46:30Z,An enterprise-class UI design language and React UI library
61,top-100-stars,rust,86801,11508,Rust,https://github.com/rust-lang/rust,rust-lang,9032,2023-11-08T02:59:17Z,Empowering everyone to build reliable and efficient software.
62,top-100-stars,clean-code-javascript,86607,11761,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,66,2023-10-03T07:21:04Z,:bathtub: Clean Code concepts adapted for JavaScript
63,top-100-stars,puppeteer,84979,9147,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,279,2023-11-07T19:28:29Z,Node.js API for Chrome 
64,top-100-stars,java-design-patterns,84478,25747,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,206,2023-11-06T22:51:00Z,Design patterns implemented in Java
65,top-100-stars,vue-element-admin,84459,30272,Vue,https://github.com/PanJiaChen/vue-element-admin,PanJiaChen,1206,2023-09-30T16:26:07Z,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
66,top-100-stars,storybook,80804,8816,TypeScript,https://github.com/storybookjs/storybook,storybookjs,1696,2023-11-07T22:00:22Z,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. "
67,top-100-stars,thefuck,79989,3489,Python,https://github.com/nvbn/thefuck,nvbn,232,2023-10-08T16:57:40Z,Magnificent app which corrects your previous console command.
68,top-100-stars,animate.css,78831,16574,CSS,https://github.com/animate-css/animate.css,animate-css,24,2023-10-30T19:15:12Z,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
69,top-100-stars,Web-Dev-For-Beginners,78082,12022,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners,microsoft,37,2023-11-07T19:53:06Z,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
70,top-100-stars,HelloGitHub,77576,9405,Python,https://github.com/521xueweihan/HelloGitHub,521xueweihan,122,2023-11-05T18:42:00Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
71,top-100-stars,papers-we-love,77573,5709,Shell,https://github.com/papers-we-love/papers-we-love,papers-we-love,15,2023-10-05T16:21:00Z,Papers from the computer science community to read and discuss.
72,top-100-stars,godot,77281,15692,C++,https://github.com/godotengine/godot,godotengine,8960,2023-11-08T02:53:02Z,Godot Engine – Multi-platform 2D and 3D game engine
